config,member,step,lead_time_hours,global_mean_t2m,global_mean_msl,global_mean_sp,global_mean_tcwv,global_mean_z500,global_mean_kinetic_energy
brown_0.01,1,12,72.0,511.94268798828125,97086.546875,54930.11328125,4495.00048828125,181556.625,86070.5859375
brown_0.01,1,13,78.0,568.9838256835938,95013.5,53158.1640625,4616.51806640625,191664.4375,86352.609375
brown_0.01,1,14,84.0,624.4674682617188,93224.1484375,51738.91796875,4731.0087890625,201603.390625,86601.5078125
brown_0.01,1,15,90.0,678.9537963867188,91670.015625,50607.1484375,4839.18505859375,211361.921875,86938.5
brown_0.01,1,16,96.0,732.569091796875,90334.9609375,49722.21875,4941.67578125,220927.234375,87413.78125
brown_0.01,1,17,102.0,785.0025024414062,89209.7265625,49037.83984375,5038.59814453125,230311.59375,87995.21875
brown_0.01,1,18,108.0,836.0872802734375,88276.5625,48519.1328125,5130.19921875,239532.21875,88659.4609375
brown_0.01,1,19,114.0,885.7395629882812,87511.25,48158.60546875,5217.07861328125,248580.0,89455.609375
brown_0.01,1,20,120.0,933.8175048828125,86889.4140625,47971.10546875,5300.10009765625,257441.75,90423.7265625
brown_0.01,2,0,0.0,289.7079772949219,101154.640625,98586.484375,27.26369285583496,55954.65625,28.034622192382812
brown_0.01,2,1,6.0,-29.579622268676758,118518.890625,106256.6328125,1101.8487548828125,68122.4609375,31724.44140625
brown_0.01,2,2,12.0,-95.84928131103516,128238.234375,110372.046875,2089.161376953125,82371.9765625,53221.33984375
brown_0.01,2,3,18.0,-60.1669921875,131025.1640625,109776.609375,2885.62841796875,97337.546875,68786.265625
brown_0.01,2,4,24.0,-6.690345764160156,129493.6953125,106167.8671875,3511.18603515625,112223.609375,82524.9296875
brown_0.01,2,5,30.0,54.11698532104492,125564.1171875,101100.0546875,4007.371337890625,126989.9140625,94592.1484375
brown_0.01,2,6,36.0,128.2099609375,120310.8671875,95386.0859375,4409.2470703125,141615.0,104215.375
brown_0.01,2,7,42.0,209.19778442382812,114436.859375,89510.8203125,4738.00537109375,155968.59375,112353.8515625
brown_0.01,2,8,48.0,294.28594970703125,108604.3046875,83859.9453125,5013.38427734375,169982.875,119070.2578125
brown_0.01,2,9,54.0,378.3688659667969,103265.984375,78609.8984375,5249.58984375,183722.875,124395.484375
brown_0.01,2,10,60.0,460.5752258300781,98570.4375,73860.984375,5454.0283203125,197220.59375,128566.8203125
brown_0.01,2,11,66.0,541.4248657226562,94510.2734375,69623.5390625,5635.34130859375,210478.703125,132214.15625
