config,member,step,lead_time_hours,variable,min_value,max_value,n_bad_points,n_total_points,violating_fraction
z500_brown_0.05,0,0,0.0,u10m,-29.98059844970703,25.07940101623535,0,1038240,0.0
z500_brown_0.05,0,0,0.0,v10m,-27.66229820251465,25.987703323364258,0,1038240,0.0
z500_brown_0.05,0,0,0.0,u100m,-38.64726257324219,30.782737731933594,0,1038240,0.0
z500_brown_0.05,0,0,0.0,v100m,-33.108516693115234,32.41148376464844,0,1038240,0.0
z500_brown_0.05,0,0,0.0,t2m,203.00914001464844,317.2091369628906,0,1038240,0.0
z500_brown_0.05,0,0,0.0,sp,49593.44921875,104524.6484375,0,1038240,0.0
z500_brown_0.05,0,0,0.0,msl,93167.375,107762.9765625,0,1038240,0.0
z500_brown_0.05,0,0,0.0,tcwv,0.033688269555568695,80.67048645019531,0,1038240,0.0
z500_brown_0.05,0,0,0.0,u50,-32.53466796875,69.6953353881836,0,1038240,0.0
z500_brown_0.05,0,0,0.0,u100,-42.44437026977539,63.615631103515625,0,1038240,0.0
z500_brown_0.05,0,0,0.0,u150,-43.69473648071289,76.46526336669922,0,1038240,0.0
z500_brown_0.05,0,0,0.0,u200,-44.91203308105469,103.88796997070312,0,1038240,0.0
z500_brown_0.05,0,0,0.0,u250,-45.851261138916016,105.44873809814453,0,1038240,0.0
z500_brown_0.05,0,0,0.0,u300,-36.28936004638672,102.41063690185547,0,1038240,0.0
z500_brown_0.05,0,0,0.0,u400,-35.72868347167969,71.8713150024414,0,1038240,0.0
z500_brown_0.05,0,0,0.0,u500,-39.31422805786133,50.18577194213867,0,1038240,0.0
z500_brown_0.05,0,0,0.0,u600,-45.0154914855957,45.66450500488281,0,1038240,0.0
z500_brown_0.05,0,0,0.0,u700,-47.08867263793945,41.111328125,0,1038240,0.0
z500_brown_0.05,0,0,0.0,u850,-52.83549880981445,36.304500579833984,0,1038240,0.0
z500_brown_0.05,0,0,0.0,u925,-42.309513092041016,34.310489654541016,0,1038240,0.0
z500_brown_0.05,0,0,0.0,u1000,-29.00948715209961,24.660512924194336,0,1038240,0.0
z500_brown_0.05,0,0,0.0,v50,-28.3104305267334,37.03956985473633,0,1038240,0.0
z500_brown_0.05,0,0,0.0,v100,-31.289772033691406,41.980228424072266,0,1038240,0.0
z500_brown_0.05,0,0,0.0,v150,-39.73875427246094,46.22124481201172,0,1038240,0.0
z500_brown_0.05,0,0,0.0,v200,-56.7220573425293,65.07794189453125,0,1038240,0.0
z500_brown_0.05,0,0,0.0,v250,-63.08574295043945,62.81425857543945,0,1038240,0.0
z500_brown_0.05,0,0,0.0,v300,-54.844512939453125,65.45549011230469,0,1038240,0.0
z500_brown_0.05,0,0,0.0,v400,-59.89063262939453,63.009368896484375,0,1038240,0.0
z500_brown_0.05,0,0,0.0,v500,-50.19239807128906,56.80760192871094,0,1038240,0.0
z500_brown_0.05,0,0,0.0,v600,-45.045677185058594,40.0643196105957,0,1038240,0.0
z500_brown_0.05,0,0,0.0,v700,-36.78691101074219,42.36308670043945,0,1038240,0.0
z500_brown_0.05,0,0,0.0,v850,-42.88942337036133,34.960575103759766,0,1038240,0.0
z500_brown_0.05,0,0,0.0,v925,-37.343692779541016,37.056304931640625,0,1038240,0.0
z500_brown_0.05,0,0,0.0,v1000,-26.340137481689453,25.029863357543945,0,1038240,0.0
z500_brown_0.05,0,0,0.0,z50,178325.890625,207936.40625,0,1038240,0.0
z500_brown_0.05,0,0,0.0,z100,140693.140625,165755.734375,0,1038240,0.0
z500_brown_0.05,0,0,0.0,z150,117632.0390625,141996.15625,0,1038240,0.0
z500_brown_0.05,0,0,0.0,z200,100768.7421875,123884.2421875,0,1038240,0.0
z500_brown_0.05,0,0,0.0,z250,87459.671875,109026.765625,0,1038240,0.0
z500_brown_0.05,0,0,0.0,z300,76372.9453125,96320.9921875,0,1038240,0.0
z500_brown_0.05,0,0,0.0,z400,58395.84765625,75588.4609375,0,1038240,0.0
z500_brown_0.05,0,0,0.0,z500,43960.421875,58905.3671875,0,1038240,0.0
z500_brown_0.05,0,0,0.0,z600,31816.14453125,44789.28125,0,1038240,0.0
z500_brown_0.05,0,0,0.0,z700,21340.9609375,32460.98828125,0,1038240,0.0
z500_brown_0.05,0,0,0.0,z850,7071.60302734375,16482.923828125,0,1038240,0.0
z500_brown_0.05,0,0,0.0,z925,558.6236572265625,9957.2314453125,0,1038240,0.0
z500_brown_0.05,0,0,0.0,z1000,-5507.95556640625,4905.5556640625,0,1038240,0.0
z500_brown_0.05,0,0,0.0,t50,176.96493530273438,233.25494384765625,0,1038240,0.0
z500_brown_0.05,0,0,0.0,t100,185.84442138671875,235.84442138671875,0,1038240,0.0
z500_brown_0.05,0,0,0.0,t150,187.8889617919922,238.91896057128906,0,1038240,0.0
z500_brown_0.05,0,0,0.0,t200,190.15658569335938,241.17657470703125,0,1038240,0.0
z500_brown_0.05,0,0,0.0,t250,199.0135498046875,243.6435546875,0,1038240,0.0
z500_brown_0.05,0,0,0.0,t300,204.70855712890625,251.70855712890625,0,1038240,0.0
z500_brown_0.05,0,0,0.0,t400,216.0428466796875,266.5628662109375,0,1038240,0.0
z500_brown_0.05,0,0,0.0,t500,224.4999542236328,276.89996337890625,0,1038240,0.0
z500_brown_0.05,0,0,0.0,t600,204.55136108398438,287.2413635253906,0,1038240,0.0
z500_brown_0.05,0,0,0.0,t700,208.45738220214844,296.9873962402344,0,1038240,0.0
z500_brown_0.05,0,0,0.0,t850,216.30093383789062,309.6709289550781,0,1038240,0.0
z500_brown_0.05,0,0,0.0,t925,219.8119354248047,315.3219299316406,0,1038240,0.0
z500_brown_0.05,0,0,0.0,t1000,223.1019287109375,319.7119445800781,0,1038240,0.0
z500_brown_0.05,0,0,0.0,q50,9.999999717180685e-10,1.9450640138529707e-06,0,1038240,0.0
z500_brown_0.05,0,0,0.0,q100,1.000000082740371e-09,9.873159797280096e-06,0,1038240,0.0
z500_brown_0.05,0,0,0.0,q150,1.0000005268295808e-09,4.6891240344848484e-05,0,1038240,0.0
z500_brown_0.05,0,0,0.0,q200,9.999985284281365e-10,0.0002307913964614272,0,1038240,0.0
z500_brown_0.05,0,0,0.0,q250,1.000000304784976e-09,0.0007995401974767447,0,1038240,0.0
z500_brown_0.05,0,0,0.0,q300,9.999980843389267e-10,0.0018608650425449014,0,1038240,0.0
z500_brown_0.05,0,0,0.0,q400,9.999975292274144e-10,0.004661120939999819,0,1038240,0.0
z500_brown_0.05,0,0,0.0,q500,9.999941985583405e-10,0.007641600910574198,0,1038240,0.0
z500_brown_0.05,0,0,0.0,q600,1.0000007488741858e-09,0.012534401379525661,0,1038240,0.0
z500_brown_0.05,0,0,0.0,q700,9.999989725173464e-10,0.018419841304421425,0,1038240,0.0
z500_brown_0.05,0,0,0.0,q850,1.635912212805124e-06,0.028813155367970467,0,1038240,0.0
z500_brown_0.05,0,0,0.0,q925,4.967510903952643e-06,0.03459184616804123,0,1038240,0.0
z500_brown_0.05,0,0,0.0,q1000,6.670324182778131e-06,0.04069339111447334,0,1038240,0.0
z500_brown_0.05,0,1,6.0,u10m,-28.26662826538086,24.725343704223633,0,1038240,0.0
z500_brown_0.05,0,1,6.0,v10m,-18.348295211791992,25.409976959228516,0,1038240,0.0
z500_brown_0.05,0,1,6.0,u100m,-36.92644119262695,30.874807357788086,0,1038240,0.0
z500_brown_0.05,0,1,6.0,v100m,-24.574291229248047,33.9788818359375,0,1038240,0.0
z500_brown_0.05,0,1,6.0,t2m,201.16290283203125,315.77337646484375,0,1038240,0.0
z500_brown_0.05,0,1,6.0,sp,49429.72265625,104052.21875,0,1038240,0.0
z500_brown_0.05,0,1,6.0,msl,93364.265625,106022.015625,0,1038240,0.0
z500_brown_0.05,0,1,6.0,tcwv,-5.554573059082031,78.99384307861328,71863,1038240,0.06921617352442595
z500_brown_0.05,0,1,6.0,u50,-30.99331283569336,73.90312957763672,0,1038240,0.0
z500_brown_0.05,0,1,6.0,u100,-39.639732360839844,61.74380111694336,0,1038240,0.0
z500_brown_0.05,0,1,6.0,u150,-36.364349365234375,73.82738494873047,0,1038240,0.0
z500_brown_0.05,0,1,6.0,u200,-44.386146545410156,94.17500305175781,0,1038240,0.0
z500_brown_0.05,0,1,6.0,u250,-40.242340087890625,107.08670043945312,0,1038240,0.0
z500_brown_0.05,0,1,6.0,u300,-36.5831298828125,100.92613220214844,0,1038240,0.0
z500_brown_0.05,0,1,6.0,u400,-38.10851287841797,69.02294921875,0,1038240,0.0
z500_brown_0.05,0,1,6.0,u500,-33.671321868896484,54.1348876953125,0,1038240,0.0
z500_brown_0.05,0,1,6.0,u600,-39.60209655761719,43.45893859863281,0,1038240,0.0
z500_brown_0.05,0,1,6.0,u700,-40.23883819580078,37.83327865600586,0,1038240,0.0
z500_brown_0.05,0,1,6.0,u850,-46.781009674072266,36.94855880737305,0,1038240,0.0
z500_brown_0.05,0,1,6.0,u925,-43.35582733154297,33.70161819458008,0,1038240,0.0
z500_brown_0.05,0,1,6.0,u1000,-27.0113468170166,23.938142776489258,0,1038240,0.0
z500_brown_0.05,0,1,6.0,v50,-23.687562942504883,30.955883026123047,0,1038240,0.0
z500_brown_0.05,0,1,6.0,v100,-30.242816925048828,37.05029296875,0,1038240,0.0
z500_brown_0.05,0,1,6.0,v150,-32.545005798339844,41.01648712158203,0,1038240,0.0
z500_brown_0.05,0,1,6.0,v200,-45.699581146240234,53.78913497924805,0,1038240,0.0
z500_brown_0.05,0,1,6.0,v250,-55.91434860229492,62.798702239990234,0,1038240,0.0
z500_brown_0.05,0,1,6.0,v300,-48.57569122314453,65.55392456054688,0,1038240,0.0
z500_brown_0.05,0,1,6.0,v400,-49.647560119628906,62.94601821899414,0,1038240,0.0
z500_brown_0.05,0,1,6.0,v500,-45.10268783569336,49.73537063598633,0,1038240,0.0
z500_brown_0.05,0,1,6.0,v600,-35.023216247558594,35.91107177734375,0,1038240,0.0
z500_brown_0.05,0,1,6.0,v700,-30.072473526000977,34.23475646972656,0,1038240,0.0
z500_brown_0.05,0,1,6.0,v850,-34.2606315612793,36.72390365600586,0,1038240,0.0
z500_brown_0.05,0,1,6.0,v925,-34.349029541015625,32.49458694458008,0,1038240,0.0
z500_brown_0.05,0,1,6.0,v1000,-21.297121047973633,25.758255004882812,0,1038240,0.0
z500_brown_0.05,0,1,6.0,z50,178381.8125,207983.3125,0,1038240,0.0
z500_brown_0.05,0,1,6.0,z100,140675.75,165754.28125,0,1038240,0.0
z500_brown_0.05,0,1,6.0,z150,117538.3671875,142024.4375,0,1038240,0.0
z500_brown_0.05,0,1,6.0,z200,100703.2734375,123902.203125,0,1038240,0.0
z500_brown_0.05,0,1,6.0,z250,87383.34375,109060.5703125,0,1038240,0.0
z500_brown_0.05,0,1,6.0,z300,76289.1640625,96385.84375,0,1038240,0.0
z500_brown_0.05,0,1,6.0,z400,58355.328125,75593.2734375,0,1038240,0.0
z500_brown_0.05,0,1,6.0,z500,43971.22265625,58831.37890625,0,1038240,0.0
z500_brown_0.05,0,1,6.0,z600,31867.328125,44735.1484375,0,1038240,0.0
z500_brown_0.05,0,1,6.0,z700,21432.73046875,32360.15625,0,1038240,0.0
z500_brown_0.05,0,1,6.0,z850,7203.10400390625,16416.82421875,0,1038240,0.0
z500_brown_0.05,0,1,6.0,z925,738.5751953125,9321.6767578125,0,1038240,0.0
z500_brown_0.05,0,1,6.0,z1000,-5302.41162109375,3649.6826171875,0,1038240,0.0
z500_brown_0.05,0,1,6.0,t50,179.83154296875,233.6676483154297,0,1038240,0.0
z500_brown_0.05,0,1,6.0,t100,186.5077667236328,235.44126892089844,0,1038240,0.0
z500_brown_0.05,0,1,6.0,t150,188.92953491210938,238.73724365234375,0,1038240,0.0
z500_brown_0.05,0,1,6.0,t200,191.56875610351562,241.3602752685547,0,1038240,0.0
z500_brown_0.05,0,1,6.0,t250,199.23068237304688,243.1333770751953,0,1038240,0.0
z500_brown_0.05,0,1,6.0,t300,205.0389862060547,251.13470458984375,0,1038240,0.0
z500_brown_0.05,0,1,6.0,t400,215.11151123046875,264.9374084472656,0,1038240,0.0
z500_brown_0.05,0,1,6.0,t500,224.70770263671875,276.8890380859375,0,1038240,0.0
z500_brown_0.05,0,1,6.0,t600,214.51953125,289.6756286621094,0,1038240,0.0
z500_brown_0.05,0,1,6.0,t700,210.1229248046875,300.00384521484375,0,1038240,0.0
z500_brown_0.05,0,1,6.0,t850,217.85513305664062,312.0284118652344,0,1038240,0.0
z500_brown_0.05,0,1,6.0,t925,222.42501831054688,317.1992492675781,0,1038240,0.0
z500_brown_0.05,0,1,6.0,t1000,225.74368286132812,322.233154296875,0,1038240,0.0
z500_brown_0.05,0,1,6.0,q50,4.0225359043688513e-08,1.9511955997586483e-06,0,1038240,0.0
z500_brown_0.05,0,1,6.0,q100,1.0800135896715801e-07,9.330646207672544e-06,0,1038240,0.0
z500_brown_0.05,0,1,6.0,q150,6.372010830091313e-08,3.4251297620357946e-05,0,1038240,0.0
