config,member,step,lead_time_hours,global_mean_t2m,global_mean_msl,global_mean_sp,global_mean_tcwv,global_mean_z500,global_mean_kinetic_energy
z500_brown_0.05,0,0,0.0,289.7088317871094,101154.640625,98586.484375,27.262474060058594,55954.65625,28.030807495117188
z500_brown_0.05,0,1,6.0,289.9397277832031,101147.921875,98586.4921875,27.53135871887207,55953.76171875,27.229013442993164
z500_brown_0.05,0,2,12.0,290.43695068359375,101138.03125,98589.71875,27.46768569946289,55964.64453125,26.543458938598633
z500_brown_0.05,0,3,18.0,290.22723388671875,101137.0390625,98593.6484375,27.575010299682617,55971.3125,26.836952209472656
z500_brown_0.05,0,4,24.0,289.69952392578125,101138.4296875,98595.734375,27.560747146606445,55968.69921875,26.27693748474121
z500_brown_0.05,0,5,30.0,290.0235290527344,101134.765625,98598.90625,27.67137908935547,55965.984375,26.5274715423584
z500_brown_0.05,0,6,36.0,290.4718933105469,101129.796875,98602.1171875,27.584550857543945,55975.2734375,25.672222137451172
z500_brown_0.05,0,7,42.0,290.265869140625,101132.0546875,98604.8828125,27.64912223815918,55980.69921875,25.84641456604004
z500_brown_0.05,0,8,48.0,289.7165222167969,101136.1640625,98605.8203125,27.598011016845703,55974.78515625,25.169689178466797
z500_brown_0.05,0,9,54.0,290.0494689941406,101134.453125,98607.921875,27.69820785522461,55968.59765625,25.373701095581055
z500_brown_0.05,0,10,60.0,290.4617614746094,101131.59375,98610.25,27.611230850219727,55974.65625,24.43468475341797
z500_brown_0.05,0,11,66.0,290.2579650878906,101134.9453125,98611.78125,27.674346923828125,55978.125,24.474895477294922
z500_brown_0.05,0,12,72.0,289.7143249511719,101139.921875,98611.7734375,27.639381408691406,55971.33203125,23.671201705932617
z500_brown_0.05,0,13,78.0,290.026123046875,101138.7734375,98612.3046875,27.743799209594727,55964.38671875,23.82696533203125
z500_brown_0.05,0,14,84.0,290.421630859375,101135.6328125,98613.125,27.66399383544922,55969.74609375,23.176755905151367
z500_brown_0.05,0,15,90.0,290.2168273925781,101138.75,98613.7421875,27.721147537231445,55971.7109375,23.38231086730957
z500_brown_0.05,0,16,96.0,289.6981506347656,101143.421875,98612.9921875,27.670045852661133,55962.93359375,22.707618713378906
z500_brown_0.05,0,17,102.0,290.00323486328125,101141.5,98612.671875,27.752201080322266,55953.23046875,22.957998275756836
z500_brown_0.05,0,18,108.0,290.4021911621094,101136.859375,98612.6484375,27.667320251464844,55956.5703125,22.380826950073242
z500_brown_0.05,0,19,114.0,290.2062072753906,101139.15625,98613.0234375,27.72998809814453,55957.29296875,22.75550651550293
z500_brown_0.05,0,20,120.0,289.6675720214844,101143.21875,98611.8359375,27.70440673828125,55948.1484375,22.397350311279297
z500_brown_0.05,1,0,0.0,289.7088317871094,101154.640625,98586.484375,27.262474060058594,55946.47265625,28.030807495117188
z500_brown_0.05,1,1,6.0,289.95196533203125,101148.5390625,98585.953125,27.562347412109375,55950.40625,27.144582748413086
z500_brown_0.05,1,2,12.0,290.4314880371094,101138.3828125,98588.890625,27.50700569152832,55962.97265625,26.481868743896484
z500_brown_0.05,1,3,18.0,290.2180480957031,101137.28125,98592.84375,27.603439331054688,55970.3125,26.760507583618164
z500_brown_0.05,1,4,24.0,289.6933288574219,101138.5390625,98594.984375,27.584125518798828,55967.953125,26.19817543029785
z500_brown_0.05,1,5,30.0,290.02178955078125,101134.703125,98598.1328125,27.68843650817871,55965.30859375,26.438417434692383
z500_brown_0.05,1,6,36.0,290.46484375,101129.75,98601.4609375,27.59784507751465,55974.76171875,25.554288864135742
z500_brown_0.05,1,7,42.0,290.2629699707031,101132.015625,98604.3359375,27.65766143798828,55980.27734375,25.714141845703125
z500_brown_0.05,1,8,48.0,289.7143249511719,101136.078125,98605.3125,27.60329246520996,55974.3515625,25.06138801574707
z500_brown_0.05,1,9,54.0,290.046630859375,101134.3515625,98607.4453125,27.698213577270508,55968.1171875,25.271549224853516
z500_brown_0.05,1,10,60.0,290.45758056640625,101131.5,98609.796875,27.60797882080078,55974.17578125,24.329164505004883
z500_brown_0.05,1,11,66.0,290.2555847167969,101134.7890625,98611.3515625,27.66962432861328,55977.4453125,24.355186462402344
z500_brown_0.05,1,12,72.0,289.71319580078125,101139.6171875,98611.2734375,27.637802124023438,55970.32421875,23.558042526245117
z500_brown_0.05,1,13,78.0,290.0233154296875,101138.46875,98611.8671875,27.744129180908203,55963.15625,23.709314346313477
z500_brown_0.05,1,14,84.0,290.4178466796875,101135.53125,98612.8046875,27.668886184692383,55968.3828125,23.105812072753906
z500_brown_0.05,1,15,90.0,290.212890625,101138.9375,98613.7578125,27.722946166992188,55970.30859375,23.366878509521484
z500_brown_0.05,1,16,96.0,289.6941223144531,101143.953125,98613.375,27.671783447265625,55961.4921875,22.728666305541992
z500_brown_0.05,1,17,102.0,289.99578857421875,101142.234375,98613.3125,27.75150489807129,55951.75,23.005218505859375
z500_brown_0.05,1,18,108.0,290.3893127441406,101137.8828125,98613.5234375,27.664417266845703,55955.18359375,22.449548721313477
z500_brown_0.05,1,19,114.0,290.1898498535156,101140.2265625,98613.875,27.723106384277344,55955.97265625,22.787891387939453
z500_brown_0.05,1,20,120.0,289.656005859375,101144.2421875,98612.6015625,27.6967716217041,55946.86328125,22.42226219177246
z500_brown_0.05,2,0,0.0,289.7088317871094,101154.640625,98586.484375,27.262474060058594,55931.7421875,28.030807495117188
z500_brown_0.05,2,1,6.0,289.8720397949219,101148.515625,98582.6640625,27.589672088623047,55944.265625,27.08820915222168
z500_brown_0.05,2,2,12.0,290.3843078613281,101137.984375,98585.1328125,27.510528564453125,55958.80078125,26.429636001586914
z500_brown_0.05,2,3,18.0,290.1908264160156,101136.40625,98589.2109375,27.59793472290039,55966.5859375,26.72942543029785
z500_brown_0.05,2,4,24.0,289.67449951171875,101137.4296875,98591.6328125,27.57088851928711,55964.4765625,26.195302963256836
z500_brown_0.05,2,5,30.0,290.0006103515625,101133.4375,98594.9609375,27.67483901977539,55961.9140625,26.446929931640625
z500_brown_0.05,2,6,36.0,290.44195556640625,101128.4765625,98598.484375,27.581789016723633,55971.63671875,25.58292007446289
