config,member,step,lead_time_hours,global_mean_t2m,global_mean_msl,global_mean_sp,global_mean_tcwv,global_mean_z500,global_mean_kinetic_energy
brown_0.05,0,0,0.0,289.7088317871094,101154.640625,98586.484375,27.262474060058594,55954.65625,28.030807495117188
brown_0.05,0,1,6.0,289.9397277832031,101147.921875,98586.4921875,27.53135871887207,55953.76171875,27.229013442993164
brown_0.05,0,2,12.0,290.43695068359375,101138.03125,98589.71875,27.46768569946289,55964.64453125,26.543458938598633
brown_0.05,0,3,18.0,290.22723388671875,101137.0390625,98593.6484375,27.575010299682617,55971.3125,26.836952209472656
brown_0.05,0,4,24.0,289.69952392578125,101138.4296875,98595.734375,27.560747146606445,55968.69921875,26.27693748474121
brown_0.05,0,5,30.0,290.0235290527344,101134.765625,98598.90625,27.67137908935547,55965.984375,26.5274715423584
brown_0.05,0,6,36.0,290.4718933105469,101129.796875,98602.1171875,27.584550857543945,55975.2734375,25.672222137451172
brown_0.05,0,7,42.0,290.265869140625,101132.0546875,98604.8828125,27.64912223815918,55980.69921875,25.84641456604004
brown_0.05,0,8,48.0,289.7165222167969,101136.1640625,98605.8203125,27.598011016845703,55974.78515625,25.169689178466797
brown_0.05,0,9,54.0,290.0494689941406,101134.453125,98607.921875,27.69820785522461,55968.59765625,25.373701095581055
brown_0.05,0,10,60.0,290.4617614746094,101131.59375,98610.25,27.611230850219727,55974.65625,24.43468475341797
brown_0.05,0,11,66.0,290.2579650878906,101134.9453125,98611.78125,27.674346923828125,55978.125,24.474895477294922
brown_0.05,0,12,72.0,289.7143249511719,101139.921875,98611.7734375,27.639381408691406,55971.33203125,23.671201705932617
brown_0.05,0,13,78.0,290.026123046875,101138.7734375,98612.3046875,27.743799209594727,55964.38671875,23.82696533203125
brown_0.05,0,14,84.0,290.421630859375,101135.6328125,98613.125,27.66399383544922,55969.74609375,23.176755905151367
brown_0.05,0,15,90.0,290.2168273925781,101138.75,98613.7421875,27.721147537231445,55971.7109375,23.38231086730957
brown_0.05,0,16,96.0,289.6981506347656,101143.421875,98612.9921875,27.670045852661133,55962.93359375,22.707618713378906
brown_0.05,0,17,102.0,290.00323486328125,101141.5,98612.671875,27.752201080322266,55953.23046875,22.957998275756836
brown_0.05,0,18,108.0,290.4021911621094,101136.859375,98612.6484375,27.667320251464844,55956.5703125,22.380826950073242
brown_0.05,0,19,114.0,290.2062072753906,101139.15625,98613.0234375,27.72998809814453,55957.29296875,22.75550651550293
brown_0.05,0,20,120.0,289.6675720214844,101143.21875,98611.8359375,27.70440673828125,55948.1484375,22.397350311279297
brown_0.05,1,0,0.0,289.7099914550781,101154.625,98586.484375,27.26150894165039,55954.65625,28.062332153320312
brown_0.05,1,1,6.0,-645.1638793945312,153152.25,158264.71875,3545.777587890625,95888.296875,329318.5625
brown_0.05,1,2,12.0,-874.2197265625,181720.265625,199132.984375,6551.96728515625,137150.0625,549670.5625
brown_0.05,1,3,18.0,-787.1852416992188,189889.875,218737.4375,8957.34375,181520.640625,691666.875
brown_0.05,1,4,24.0,-639.8323364257812,185364.265625,223779.609375,10815.787109375,226779.34375,805477.0625
brown_0.05,1,5,30.0,-459.7901611328125,173540.015625,219672.15625,12275.978515625,271930.6875,898729.625
brown_0.05,1,6,36.0,-230.8311309814453,157723.671875,209940.34375,13456.6220703125,316702.53125,975549.0
brown_0.05,1,7,42.0,29.266218185424805,140217.0625,197133.59375,14427.2412109375,360792.09375,1038129.4375
brown_0.05,1,8,48.0,300.71588134765625,122720.6796875,183032.265625,15242.541015625,403931.9375,1086219.25
brown_0.05,1,9,54.0,572.7261962890625,106303.5,168694.6875,15935.8603515625,446092.0625,1125496.25
brown_0.05,1,10,60.0,838.4026489257812,91451.8828125,154635.21875,16535.423828125,487235.6875,1160269.0
brown_0.05,1,11,66.0,1094.6533203125,78302.6328125,141097.140625,17064.57421875,527468.0,1190756.75
brown_0.05,1,12,72.0,1342.3988037109375,66813.7109375,128288.2578125,17542.169921875,566669.6875,1218296.625
brown_0.05,1,13,78.0,1582.204345703125,56793.5078125,116297.9296875,17980.353515625,604840.8125,1244953.375
brown_0.05,1,14,84.0,1815.5313720703125,47969.78125,104984.2890625,18384.861328125,642097.25,1269883.375
brown_0.05,1,15,90.0,2043.3701171875,40220.2734375,94262.109375,18758.87109375,678468.4375,1293528.25
brown_0.05,1,16,96.0,2264.33837890625,33485.15234375,84142.8515625,19105.34765625,713990.0,1315763.375
brown_0.05,1,17,102.0,2476.92529296875,27723.962890625,74620.5,19429.41015625,748712.375,1335971.75
brown_0.05,1,18,108.0,2681.0498046875,22875.61328125,65698.1953125,19736.240234375,782773.5,1353675.25
brown_0.05,1,19,114.0,2875.55712890625,18844.83984375,57389.83203125,20030.728515625,816180.375,1370035.375
brown_0.05,1,20,120.0,3060.79638671875,15495.23828125,49695.55859375,20313.578125,848883.125,1383837.75
brown_0.05,2,0,0.0,289.71002197265625,101154.625,98586.484375,27.258947372436523,55954.65625,28.068206787109375
brown_0.05,2,1,6.0,-774.7797241210938,159537.8125,137435.1875,4059.183349609375,96321.640625,395527.59375
brown_0.05,2,2,12.0,-990.0899658203125,190988.96875,160814.71875,7637.435546875,144257.71875,682751.875
brown_0.05,2,3,18.0,-857.7839965820312,198574.84375,165256.640625,10531.5947265625,196192.546875,883172.5625
brown_0.05,2,4,24.0,-658.4776000976562,191065.40625,157240.203125,12786.28125,249025.796875,1055673.125
brown_0.05,2,5,30.0,-439.8667907714844,175259.59375,142407.25,14554.869140625,302181.5625,1200863.75
brown_0.05,2,6,36.0,-181.65882873535156,154980.3125,124248.9296875,15972.2578125,355218.4375,1316245.0
brown_0.05,2,7,42.0,109.29725646972656,133069.265625,104800.15625,17125.712890625,407490.0625,1405849.625
brown_0.05,2,8,48.0,414.3302917480469,111774.234375,85677.71875,18087.974609375,458663.6875,1471630.625
brown_0.05,2,9,54.0,715.5211181640625,92327.5546875,67547.3046875,18904.69140625,508898.96875,1527248.375
brown_0.05,2,10,60.0,1013.1956176757812,75302.875,50868.8515625,19610.291015625,558219.25,1572727.75
brown_0.05,2,11,66.0,1305.421630859375,60679.37109375,35783.55859375,20237.75390625,606720.6875,1611067.375
brown_0.05,2,12,72.0,1589.6309814453125,48276.046875,22362.990234375,20811.0390625,654134.9375,1643374.625
brown_0.05,2,13,78.0,1864.89697265625,37846.859375,10619.9345703125,21339.482421875,700388.625,1672356.5
brown_0.05,2,14,84.0,2132.6533203125,28882.970703125,273.45623779296875,21828.75390625,745618.0,1698579.5
brown_0.05,2,15,90.0,2395.412109375,21192.998046875,-8972.91796875,22283.599609375,789833.125,1723898.875
brown_0.05,2,16,96.0,2650.93017578125,14759.7041015625,-17237.34765625,22711.60546875,833035.9375,1747653.625
brown_0.05,2,17,102.0,2896.78564453125,9465.3486328125,-24546.798828125,23121.103515625,875278.4375,1769248.5
brown_0.05,2,18,108.0,3133.1708984375,5121.1123046875,-30908.95703125,23515.611328125,916772.5,1787949.625
brown_0.05,2,19,114.0,3358.103271484375,1568.27392578125,-36395.01171875,23901.0625,957505.0625,1806307.0
brown_0.05,2,20,120.0,3572.708984375,-1312.8187255859375,-41087.25390625,24277.732421875,997386.5625,1823282.375
brown_0.05,3,0,0.0,289.7053527832031,101154.640625,98586.484375,27.26242446899414,55954.65625,28.03888702392578
brown_0.05,3,1,6.0,-869.2341918945312,173019.40625,164209.40625,5236.2626953125,103284.015625,741244.9375
brown_0.05,3,2,12.0,-1121.6544189453125,213065.53125,206454.78125,9416.876953125,157704.953125,1324891.75
brown_0.05,3,3,18.0,-998.16357421875,225715.28125,221871.890625,12663.7705078125,218266.15625,1728337.625
brown_0.05,3,4,24.0,-813.1834106445312,220049.46875,219099.3125,15181.06640625,280756.09375,2036334.75
brown_0.05,3,5,30.0,-586.5693969726562,204442.421875,207529.421875,17169.533203125,343747.40625,2257034.5
brown_0.05,3,6,36.0,-296.4927062988281,183627.875,190604.265625,18769.802734375,406353.78125,2408871.75
brown_0.05,3,7,42.0,33.68563461303711,160697.390625,170484.546875,20078.46484375,468047.3125,2507648.5
brown_0.05,3,8,48.0,376.3828430175781,138231.21875,149320.515625,21170.681640625,528635.6875,2578039.25
brown_0.05,3,9,54.0,720.98095703125,117561.4765625,128366.4765625,22099.3515625,588146.9375,2631587.0
brown_0.05,3,10,60.0,1064.569091796875,99181.8671875,108370.359375,22910.482421875,646524.0625,2672226.5
brown_0.05,3,11,66.0,1404.017822265625,83090.8828125,89520.1796875,23644.794921875,703928.1875,2711966.0
brown_0.05,3,12,72.0,1734.5301513671875,69301.9609375,72171.1796875,24316.91796875,760087.5,2745555.75
brown_0.05,3,13,78.0,2054.135986328125,57560.00390625,56360.703125,24941.982421875,814972.5,2778323.75
brown_0.05,3,14,84.0,2365.024169921875,47334.921875,41789.15625,25528.59375,868767.3125,2806446.5
brown_0.05,3,15,90.0,2668.6826171875,38428.5078125,28308.330078125,26081.578125,921437.0,2833944.25
brown_0.05,3,16,96.0,2964.14306640625,30713.783203125,15771.9677734375,26609.181640625,972968.625,2861684.75
brown_0.05,3,17,102.0,3251.021728515625,24062.49609375,4073.33154296875,27117.65625,1023324.125,2890053.75
brown_0.05,3,18,108.0,3529.81640625,18257.4140625,-6690.70458984375,27607.736328125,1072659.75,2919026.25
brown_0.05,3,19,114.0,3799.0869140625,13154.6142578125,-16412.65234375,28081.279296875,1120963.25,2953226.75
brown_0.05,3,20,120.0,4058.23779296875,8707.9052734375,-25043.65625,28537.369140625,1168172.375,2992233.25
